,Accuracy,Precision,Recall,F1,AUC-ROC,Train Time,F2,Threshold
XGBoost,0.6208787404627719,0.12022201936898654,0.6906258005213749,0.20479410890746239,0.7109005962533548,2.855705738067627,0.35436382754994744,0.4709104299545288
RandomForest,0.6423641993521662,0.12090321382233493,0.6473185359311665,0.20375078259879717,0.7030617429272409,2.8427629470825195,,
LogisticRegression,0.6618492769122122,0.1211732615609291,0.6051414191642933,0.20191512415122895,0.6920460527201505,1.1726164817810059,,
GBTClassifier,0.6602451372519362,0.12440450347038427,0.6303813872187816,0.2078000779858781,0.6464490464470058,33.708603620529175,,
RandomForestClassifier,0.6409624411895345,0.12060812799390078,0.6483884092039238,0.2033843026965708,0.644392999271734,6.725549221038818,,
DecisionTree_Spark,0.624916783923666,0.11688416152981963,0.6568871208354052,0.19845580234998475,0.6396860500275177,1.6274211406707764,,
LogisticRegression_Spark,0.6563221316949663,0.11957202613680558,0.6069195184063408,0.1997837333769835,0.6334997152812853,7.338292598724365,,
